Date,Article,Price,Parking,Rooms,Meters,Floor,Sqmp
04-11-2020,89012105,1100,0,3,65.0,6,16.92
04-11-2020,89010447,1200,0,4,85.0,4,14.12
04-11-2020,89006218,1200,0,3,75.0,5,16.0
04-11-2020,89004514,900,0,2,75.0,1,12.0
04-11-2020,88993714,900,0,2,40.0,5,22.5
04-11-2020,88939368,1100,0,3,88.0,3,12.5
04-11-2020,88866391,1200,0,2,66.0,1,18.18
04-11-2020,88838239,800,0,2,65.0,3,12.31
04-11-2020,88832422,1185,0,2,79.0,2,15.0
04-11-2020,88786970,990,0,3,65.0,3,15.23
04-11-2020,88586195,800,0,2,65.0,3,12.31
04-11-2020,88413951,800,0,2,65.0,3,12.31
04-11-2020,39462719,1150,0,2,70.0,1,16.43
04-11-2020,88994739,850,0,2,64.0,1,13.28
04-11-2020,89152643,1100,0,2,49.0,4,22.45
04-11-2020,89084251,950,0,2,75.0,2,12.67
04-11-2020,89019587,1000,0,3,65.0,3,15.38
04-11-2020,89010354,790,0,2,60.0,0,13.17
04-11-2020,88923598,925,0,3,72.0,4,12.85
04-11-2020,88819478,1150,0,3,65.0,6,17.69
04-11-2020,88807782,1200,0,2,52.0,1,23.08
04-11-2020,89134091,840,0,2,45.0,3,18.67
04-11-2020,89111430,1100,0,2,50.0,2,22.0
04-11-2020,88764405,1190,0,2,55.0,4,21.64
04-11-2020,89056602,1000,0,2,70.0,6,14.29
04-11-2020,88921531,925,0,2,65.0,2,14.23
04-11-2020,37305375,975,0,2,65.0,2,15.0
04-11-2020,89126463,1200,0,4,95.0,1,12.63
04-11-2020,89112657,1117,0,3,85.0,3,13.14
04-11-2020,89084626,1200,0,2,90.0,1,13.33
04-11-2020,83659189,1195,0,2,60.0,2,19.92
04-11-2020,89056897,1150,0,2,72.0,5,15.97
04-11-2020,89044718,1200,0,3,80.0,6,15.0
04-11-2020,89005467,1100,0,4,75.0,0,14.67
04-11-2020,88964748,1100,0,3,80.0,0,13.75
04-11-2020,88904155,1050,0,2,74.0,3,14.19
04-11-2020,88753901,1100,0,2,65.0,4,16.92
04-11-2020,89143888,775,0,2,61.0,1,12.7
04-11-2020,35885518,830,0,2,46.0,2,18.04
04-11-2020,89096086,1190,0,2,62.0,5,19.19
04-11-2020,87641569,1100,0,2,65.0,0,16.92
04-11-2020,88963776,900,0,2,55.0,4,16.36
04-11-2020,39557751,1050,0,3,69.0,2,15.22
04-11-2020,88893524,1100,0,2,57.0,3,19.3
04-11-2020,88892851,1100,0,3,90.0,0,12.22
04-11-2020,88818349,1000,0,3,90.0,0,11.11
04-11-2020,88815598,900,0,2,70.0,0,12.86
04-11-2020,88711537,1040,0,3,65.0,5,16.0
04-11-2020,88593114,800,0,2,60.0,0,13.33
04-11-2020,88574070,1100,1,2,90.0,0,12.22
04-11-2020,88310751,1200,0,2,74.0,0,16.22
04-11-2020,88162913,1150,0,4,110.0,0,10.45
04-11-2020,87997446,1000,0,3,81.0,4,12.35
04-11-2020,87336457,1100,0,3,82.0,1,13.41
04-11-2020,84375108,1050,0,3,60.0,3,17.5
04-11-2020,40496432,875,0,2,53.0,5,16.51
04-11-2020,89085720,1100,0,2,75.0,1,14.67
04-11-2020,89072853,1100,0,2,55.0,3,20.0
04-11-2020,89016729,1000,0,3,80.0,1,12.5
04-11-2020,89008808,950,0,2,55.0,4,17.27
04-11-2020,88986464,1200,0,2,60.0,1,20.0
04-11-2020,89002718,1190,0,2,74.0,2,16.08
04-11-2020,88995508,1190,0,2,74.0,2,16.08
04-11-2020,88824676,950,0,2,55.0,0,17.27
04-11-2020,30876886,900,0,2,55.0,4,16.36
04-11-2020,88633969,1100,0,2,100.0,2,11.0
04-11-2020,85446778,950,0,3,73.0,3,13.01
04-11-2020,81772576,1100,0,3,65.0,2,16.92
04-11-2020,38366016,1200,0,2,44.0,3,27.27
04-11-2020,88923959,1150,0,3,75.0,4,15.33
04-11-2020,88912178,1000,0,2,52.0,1,19.23
04-11-2020,88912167,1000,0,2,52.0,4,19.23
04-11-2020,88883483,890,0,2,66.0,0,13.48
04-11-2020,88875696,1100,0,2,80.0,2,13.75
04-11-2020,88836619,1100,0,2,75.0,1,14.67
04-11-2020,88730496,1200,0,2,62.0,1,19.35
04-11-2020,84717338,1100,0,2,55.0,1,20.0
04-11-2020,88275581,1100,0,2,80.0,0,13.75
04-11-2020,89122471,1200,0,2,83.0,3,14.46
04-11-2020,88192614,1120,0,3,63.0,0,17.78
04-11-2020,89088359,725,0,3,55.0,0,13.18
04-11-2020,89067585,1100,0,3,55.0,3,20.0
04-11-2020,89047253,1065,0,2,45.0,0,23.67
04-11-2020,88989032,1195,0,2,57.0,3,20.96
